epsilon,k0,n,log_prob
0.07995912722007376,0.02623129854638083,0.3316569884334092,-2.823859551063839
0.07719807062737587,0.025857873900056814,0.3495259600461289,-2.5502640853347467
0.06118671181688951,0.03146800238671231,0.8660891438559803,-1.4836750826908596
0.06228270579178968,0.03619590624842838,0.5547597135870239,-1.726222540123224
0.06254840023985231,0.01837667425743405,0.7905720253660209,-1.484414804073497
0.0678489912113586,0.023012074801877964,0.25074683890720384,-1.9536886942375815
0.10594578268181243,0.021638644633160727,0.7373439097806515,-4.3719633705746
0.06481992344425026,0.018273274555007706,0.04101001102689869,-1.7971698051292455
0.07297851461694446,0.03341668396888073,0.3763137707263368,-2.5557974867709774
0.06004289395078212,0.021467792528338737,0.33073446220152314,-1.491852043762245
0.060842754174526566,0.027222373026274675,0.4498690480206583,-1.5315812720329487
0.08643148385668298,0.01871308488862465,0.8744778415299278,-2.6592185840124714
0.08761043427741869,0.031136366619678658,0.9940018854399997,-2.98239265458028
0.06955257231741795,0.025858519584931336,0.49789541388269976,-1.9563417609672444
0.061732175575708356,0.029958502467719684,0.21968271485676139,-1.7667002261159896
0.08948521936616709,0.03500936257347117,0.9164954277325998,-3.376652579841736
0.07933021680848032,0.023822948932676637,0.6900695398813439,-2.4075228382336147
0.09181932287241554,0.0230338860369007,0.30139179996319787,-3.6429247975151484
0.07238962182938619,0.03604491140111912,0.09638510950232611,-3.035093007698837
0.06286904184611265,0.02444242675695504,0.5247648246874569,-1.583364771259592
